#Parse ignores lines that start with a pound symbol,,,,
#This Team,That Team,Winner,Class of Game,"Class of game - R: Regional, Q Qualifier, C Clash, B, Brawl. Clash is fall and spring wester and eastern. Brawl is international event"
#NA Qualifer Matches between qualified teams,,,,
#NA Phase 1 Games Part 1 Games,,,,
NV,TS,TS,R,
NV,TS,TS,R,
NV,TS,NV,R,
NV,TS,NV,R,
NV,TS,TS,R,
T8,NT,T8,R,
T8,NT,T8,R,
T8,NT,T8,R,
SS,TF,SS,R,
SS,TF,SS,R,
SS,TF,TF,R,
SS,TF,SS,R,
GF,BS,BS,R,
GF,BS,GF,R,
GF,BS,BS,R,
GF,BS,GF,R,
GF,BS,GF,R,
T8,BS,BS,R,
T8,BS,T8,R,
T8,BS,T8,R,
T8,BS,T8,R,
NV,GF,GF,R,
NV,GF,GF,R,
NV,GF,GF,R,
TS,TF,TF,R,
TS,TF,TS,R,
TS,TF,TS,R,
TS,TF,TF,R,
TS,TF,TS,R,
SS,NT,NT,R,
SS,NT,SS,R,
SS,NT,SS,R,
SS,NT,SS,R,
NV,NT,NT,R,
NV,NT,NT,R,
NV,NT,NV,R,
NV,NT,NV,R,
NV,NT,NV,R,
GF,TF,GF,R,
GF,TF,TF,R,
GF,TF,GF,R,
GF,TF,TF,R,
GF,TF,TF,R,
T8,SS,T8,R,
T8,SS,T8,R,
T8,SS,T8,R,
NT,BS,BS,R,
NT,BS,BS,R,
NT,BS,BS,R,
NV,TF,TF,R,
NV,TF,NV,R,
NV,TF,NV,R,
NV,TF,NV,R,
TS,T8,TS,R,
TS,T8,T8,R,
TS,T8,T8,R,
TS,T8,TS,R,
TS,T8,TS,R,
GF,T8,T8,R,
GF,T8,GF,R,
GF,T8,T8,R,
GF,T8,GF,R,
GF,T8,T8,R,
TF,BS,BS,R,
TF,BS,BS,R,
TF,BS,TF,R,
TF,BS,BS,R,
TS,NT,TS,R,
TS,NT,TS,R,
TS,NT,TS,R,
NV,SS,SS,R,
NV,SS,SS,R,
NV,SS,SS,R,
SS,BS,SS,R,
SS,BS,SS,R,
SS,BS,BS,R,
SS,BS,BS,R,
SS,BS,BS,R,
NV,T8,T8,R,
NV,T8,T8,R,
NV,T8,T8,R,
TS,GF,GF,R,
TS,GF,GF,R,
TS,GF,GF,R,
NT,TF,NT,R,
NT,TF,TF,R,
NT,TF,NT,R,
NT,TF,NT,R,
GF,NT,GF,R,
GF,NT,GF,R,
GF,NT,GF,R,
NV,BS,BS,R,
NV,BS,NV,R,
NV,BS,BS,R,
NV,BS,NV,R,
NV,BS,BS,R,
TS,SS,TS,R,
TS,SS,TS,R,
TS,SS,TS,R,
T8,TF,T8,R,
T8,TF,T8,R,
T8,TF,T8,R,
#EU Phase 1 Games Part 1 Games,,,,
DG,MF,MF,R,
DG,MF,MF,R,
DG,MF,MF,R,
PD,TX,TX,R,
PD,TX,TX,R,
PD,TX,TX,R,
BG,SN,SN,R,
BG,SN,BG,R,
BG,SN,SN,R,
BG,SN,SN,R,
FN,TR,FN,R,
FN,TR,FN,R,
FN,TR,TR,R,
FN,TR,FN,R,
TR,TX,TX,R,
TR,TX,TX,R,
TR,TX,TX,R,
FN,MF,FN,R,
FN,MF,MF,R,
FN,MF,FN,R,
FN,MF,MF,R,
FN,MF,MF,R,
DG,SN,DG,R,
DG,SN,DG,R,
DG,SN,DG,R,
BG,PD,PD,R,
BG,PD,PD,R,
BG,PD,BG,R,
BG,PD,PD,R,
DG,TR,DG,R,
DG,TR,DG,R,
DG,TR,DG,R,
MF,PD,PD,R,
MF,PD,MF,R,
MF,PD,MF,R,
MF,PD,MF,R,
FN,SN,FN,R,
FN,SN,FN,R,
FN,SN,FN,R,
BG,TX,TX,R,
BG,TX,TX,R,
BG,TX,TX,R,
TR,PD,TR,R,
TR,PD,TR,R,
TR,PD,PD,R,
TR,PD,PD,R,
TR,PD,PD,R,
FN,BG,FN,R,
FN,BG,FN,R,
FN,BG,FN,R,
MF,SN,MF,R,
MF,SN,MF,R,
MF,SN,MF,R,
DG,TX,TX,R,
DG,TX,DG,R,
DG,TX,DG,R,
DG,TX,DG,R,
FN,TX,TX,R,
FN,TX,FN,R,
FN,TX,TX,R,
FN,TX,FN,R,
FN,TX,FN,R,
TR,SN,TR,R,
TR,SN,TR,R,
TR,SN,SN,R,
TR,SN,TR,R,
DG,PD,DG,R,
DG,PD,PD,R,
DG,PD,DG,R,
DG,PD,DG,R,
MF,BG,MF,R,
MF,BG,MF,R,
MF,BG,MF,R,
BG,TR,TR,R,
BG,TR,TR,R,
BG,TR,TR,R,
MF,TX,MF,R,
MF,TX,MF,R,
MF,TX,MF,R,
DG,FN,FN,R,
DG,FN,FN,R,
DG,FN,DG,R,
DG,FN,DG,R,
DG,FN,FN,R,
SN,PD,SN,R,
SN,PD,PD,R,
SN,PD,PD,R,
SN,PD,PD,R,
FN,PD,FN,R,
FN,PD,FN,R,
FN,PD,PD,R,
FN,PD,FN,R,
MF,TR,MF,R,
MF,TR,MF,R,
MF,TR,TR,R,
MF,TR,TR,R,
MF,TR,MF,R,
DG,BG,DG,R,
DG,BG,DG,R,
DG,BG,DG,R,
TX,SN,TX,R,
TX,SN,TX,R,
TX,SN,TX,R,
